wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x38d812aff0b79f3bf5da2a477f780bcc163eea7c,0x38d812af,FINANCE,111.84,147.0,69.4,34,128,128,63.49,0.06,0.24,1964.83,7,"['Will Andy Burnham be the next Prime Minister of the United K → Yes @ 0.535', 'Will Wes Streeting be the next Prime Minister of the United  → Yes @ 0.03', 'Will Opendoor (OPEN) finish week of May 25 above $5.00? → Yes @ 0.996']",2026-05-30
0xac4a1fabdac2438d6afa2a9e8e83845310a0bf1e,0xac4a1fab,TECH,63.4,37.7,90.9,20,37,37,86.44,0.1,0.18,505.85,16,"['SpaceX IPO closing market cap above $1.8T? → No @ 0.1', 'US x Iran diplomatic meeting by May 31, 2026? → Yes @ 0.011', 'Will Choo Kyung-ho win the 2026 Daegu mayoral election? → No @ 0.12']",2026-05-30
0xb38d6e52f2c77232e086c58e730d10d8b98383d6,0xb38d6e52,CULTURE,40.66,15.1,61.3,19,143,80,80.0,0.0,0.13,787.0,0,[],2026-05-30
