wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,0x7f9e2d1d,POLITICS,69.93,22.8,125.0,20,36,24,131.54,0.1,0.44,6151.72,6,"['Will Luiz Inácio Lula da Silva win the first round of the 20 → Yes @ 0.53', 'Will Augusto Cury win 6% or more of the valid vote in the fi → No @ 0.8', 'Will Flávio Bolsonaro win 39% or more of the valid vote in t → Yes @ 0.88']",2026-09-22
0x9c2617462567859fcf5764e03b9a687ebca274bc,0x9c261746,POLITICS,43.55,21.2,75.0,9,100,62,70.09,0.0,0.42,2958.96,1,['Will David Sacks leave the Trump administration before 2027? → Yes @ 0.18'],2026-09-22
0xcdb1f1ef8213c06911e4ba6a884176c5571e276c,0xcdb1f1ef,POLITICS,42.96,16.7,66.7,18,51,51,102.9,0.0,0.19,3517.25,17,"['Will Anthropic flip BTC by December 31? → Yes @ 0.72', 'Tesla and SpaceX merger officially announced by September 30 → No @ 0.984', 'Fed emergency rate cut before 2027? → No @ 0.973']",2026-09-22
