date,wallet,name,pnl_alltime,vol_alltime,trades_20d,days_active_20d,markets_count_20d,avg_trade_size,top_market_pct,is_bot,categories,markets_sample,consistency_score
2026-04-10,0x796070da5c8a51af8909db1aff76ae281c7d734d,fatfatchen,15150.22,78769.34,88,10,26,5451.64,11.4,False,SPORTS,Mavericks vs. Suns | Pelicans vs. Kings | Nuggets vs. Suns,97.15
2026-04-10,0xb44e078d30bc85ca08be001607969b8737ba681a,0xB44E078d30Bc85Ca08bE001607969B8737ba681A-1768832750024,551.48,8726.67,46,11,29,237.43,15.2,False,FINANCE,Will Tesla (TSLA) close above $360 on March 23? | Robinhood (HOOD) Up or Down on March 23? | NVIDIA (NVDA) Up or Down on April 10?,91.55
2026-04-10,0x8516cc7ba51b0dc7a332d4462df1aff47ae393a0,forever333,23413.09,132342.09,81,5,27,3178.92,8.6,False,"OVERALL, SPORTS",Mavericks vs. Suns | Knicks vs. Hawks | Connecticut Huskies vs. Michigan Wolverines,89.0
2026-04-10,0x0eb75bf6f54794a83bd26095811f30b530161f17,elshark206,49748.19,203013.61,97,5,25,4486.47,10.3,False,"OVERALL, SPORTS",Bucks vs. Nets | Spread: Pelicans (-7.5) | Knicks vs. Hawks,85.0
2026-04-10,0x1ecbb976813f39dfea0f3c264b96a26dd8e0b5e3,mctnft,555.22,3375.0,63,11,24,321.99,7.9,False,CULTURE,Will Israel take military action in Lebanon on Mar | Gemini 3.5 released by May 31? | Mahmoud Abbas out as Palestinian President by Dece,81.56
2026-04-10,0x63a51cbb37341837b873bc29d05f482bc2988e33,mhh29,228527.7,632918.4,88,4,19,30843.09,15.9,False,"OVERALL, SPORTS",Map Handicap: FUT (-1.5) vs B8 (+1.5) | Kansas City Royals vs. Cleveland Guardians: O/U 6. | Spread: San Diego Padres (-1.5),70.0
2026-04-10,0x783c0b425fc4fc1088e745b8a67b2dbb21a4146a,SHARMA1618,18294.24,136586.59,92,6,13,2982.09,18.5,False,SPORTS,Celtics vs. Knicks | Heat vs. Raptors | Zalgiris Kaunas vs. BC Dubai,62.29
2026-04-10,0x8a6c6811e8937f9e8afc1b9249fa540262c30b3f,0x8a6C6811e8937F9E8aFc1b9249FA540262c30b3f-1771776258725,228767.15,666537.73,39,3,16,24823.79,15.4,False,"OVERALL, SPORTS",Celtics vs. Knicks | Heat vs. Raptors | Spread: Paris Saint-Germain FC (-1.5),61.0
2026-04-10,0xad2b18343919cf24b56b6f822360937ab322f091,b324u,41602.16,80000.0,79,7,8,2873.26,39.2,False,"OVERALL, SPORTS",US x Iran ceasefire by March 31? | Los Angeles Dodgers vs. Toronto Blue Jays | Spread: Hawks (-3.5),57.0
2026-04-10,0x73ffdbd938097e6f50f14aa05bb9d4a9c5d70fac,0x73ffdBd938097E6f50F14AA05bB9D4A9C5d70Fac-1775403178515,16874.38,90567.69,26,6,9,6712.94,30.8,False,"OVERALL, SPORTS",76ers vs. Spurs | Thunder vs. Clippers | Lakers vs. Warriors,52.87
2026-04-10,0xacbca1cf43bd198e734089f198f3725281577cc3,TROLLSK,1804.36,8812.93,95,4,18,159.23,28.4,False,CULTURE,Will Elon Musk post 140-164 tweets from April 6 to | Will Elon Musk post 320-339 tweets from April 3 to | Will Elon Musk post 115-139 tweets from April 9 to,49.8
2026-04-10,0x410aa391edffa58af64517ec579af5def62b2643,afdafdafdafdafd,540.0,14000.0,96,5,14,708.26,38.5,False,ECONOMICS,Will Morocco win the 2026 FIFA World Cup? | Netanyahu out by April 30? | Will Croatia win the 2026 FIFA World Cup?,43.54
2026-04-10,0x0619dafd91786867631d0546917aa35c244ed801,Kinganibus,1092.77,6499.96,87,4,10,83.75,49.4,False,CULTURE,"Will WTI Crude Oil (WTI) hit (HIGH) $100 in April? | Will ""Re:ZERO -Starting Life in Another World- Sea | LoL: Hanwha Life Esports vs BNK FEARX (BO3) - LCK ",33.09
2026-04-10,0x88b59d79b6e1659c95a0043028e5bb7a26e6205c,almost-never,3747.41,2765.4,73,3,7,195.17,35.6,False,POLITICS,Will Tisza win at least 120 seats? | Will the next Prime Minister of Hungary be Viktor  | Will Fidesz-KDNP win at least 80 seats?,26.75
2026-04-10,0x8b4bca1d794779e66e023d44391b2a86c5ab541b,0x8B4bcA1D794779E66e023D44391B2A86C5ab541B-1769764313952,3118.57,70387.8,96,3,7,1138.73,40.6,False,ECONOMICS,Will Rick Reider be confirmed as Fed Chair? | Will Trump acquire Greenland before 2027? | Netanyahu out by June 30?,26.12
