wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,0x7f9e2d1d,SPORTS,697.57,1415.2,104.2,25,46,10,168.26,0.0,0.33,25178.56,2,"['Iran closes its airspace by May 8? → No @ 0.972', 'Will Reza Pahlavi lead Iran in 2026? → No @ 0.918']",2026-05-08
0x88c4919de76e526d55a32c1f8afb439dd1f1129a,0x88c4919d,SPORTS,165.06,268.5,66.0,33,62,62,156.85,0.0,0.36,27999.37,3,"['Epstein suicide note released by May 31? → No @ 0.755', 'Epstein suicide note released by May 8? → No @ 0.839', 'Will Netanyahu be pardoned by June 30? → No @ 0.935']",2026-05-08
0x5fea774d3548a44d48452e868d7faf0c860078b1,0x5fea774d,SPORTS,45.12,25.4,60.0,12,136,136,64.18,1.0,0.1,14813.21,2,"['LoL: Dplus KIA Challengers vs KT Rolster Challengers (BO3) - → KT Rolster Challengers @ 1.0', 'LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game  → KT Rolster Challengers @ 1.0']",2026-05-08
