date,wallet,name,pnl_alltime,vol_alltime,pnl_efficiency,trades_30d,days_active_30d,markets_count_30d,avg_buy_size,avg_size_all,top_market_pct,hhi_concentration,win_rate_approx,is_bot,size_tier,categories,markets_sample,quality_score
2026-04-11,0x88c4919de76e526d55a32c1f8afb439dd1f1129a,8934394839,17264.5,11347.41,1.5214,491,20,74,1477.86,1541.28,9.2,0.036,0.862,False,SMALL,"OVERALL, POLITICS, FINANCE",Iran x Israel/US conflict ends by April 7? | Trump announces end of military operations against Iran by April 15th? | Iran x Israel/US conflict ends by April 15?,90.53
2026-04-11,0x2580d0e16709994f5b8a0206271ad14e2b911d56,Maxdaboss1,41725.74,166962.74,0.2499,494,15,30,877.1,1303.39,18.6,0.098,0.875,False,SMALL,"OVERALL, SPORTS",Timberwolves vs. Rockets | Raptors vs. Knicks | Rockets vs. Suns,86.69
2026-04-11,0x02b640e5686c95289f60fe9090c1889e409b8f5f,ExperimentalDude,232.55,1749.32,0.1329,356,31,106,129.89,157.63,6.7,0.017,0.736,False,MICRO,CULTURE,"Will FC Bayern München win on 2026-04-11? | BV Borussia 09 Dortmund vs. Bayer 04 Leverkusen: O/U 1.5 | Will Elon Musk post 40-64 tweets from April 9 to April 11, 2026?",83.24
2026-04-11,0x0eb75bf6f54794a83bd26095811f30b530161f17,elshark206,59113.09,327117.65,0.1807,492,17,126,3791.58,5560.0,5.1,0.014,0.745,False,MEDIUM,"OVERALL, SPORTS",Arizona Diamondbacks vs. Philadelphia Phillies | Clippers vs. Trail Blazers | Spread: Nuggets (-2.5),80.93
2026-04-11,0x738d138786b9d29b920ee3539a07284272c1cc21,0x738D138786b9d29B920eE3539A07284272c1CC21-1768838584717,946.06,7747.91,0.1221,176,26,36,273.97,337.58,21.0,0.079,0.8,False,MICRO,CULTURE,"Will Elon Musk post 40-64 tweets from April 9 to April 11, 2026? | Will Elon Musk post 90-114 tweets from April 9 to April 11, 2026? | Will Elon Musk post 40-64 tweets from April 6 to April 8, 2026?",79.36
2026-04-11,0x1bc8b6519eb646dab62ac7be5b55920f5bb72f68,0x1BC8b6519Eb646dAB62Ac7be5b55920F5Bb72F68-1769962409869,15932.68,68805.61,0.2316,486,8,28,200.81,312.59,23.3,0.125,0.833,False,MICRO,"OVERALL, SPORTS",Will FC Bayern München win on 2026-04-11? | Will Liverpool FC win on 2026-04-11? | Will AC Milan win on 2026-04-11?,79.23
2026-04-11,0x1395140ec9ea2e2fd53ffb09bae36822afceb329,tc1g,232.99,598.54,0.3893,402,13,107,59.3,69.78,6.0,0.021,0.715,False,MICRO,FINANCE,WTI Crude Oil (WTI) Up or Down on April 13? | Will Liverpool FC win on 2026-04-11? | Dow Jones (DJIA) Up or Down on April 13?,77.82
2026-04-11,0xa8fac068d32639c40188563c83c206b320e57dda,0xA8fAC068d32639c40188563C83c206b320E57Dda-1773425391498,999.91,5913.97,0.1691,486,6,31,529.74,554.71,13.6,0.063,0.853,False,SMALL,CULTURE,Indian Premier League: Chennai Super Kings vs Delhi Capitals | Will MrBeast's next video get between 70 and 80 million views on week 1? | Will MrBeast's next video get between 80 and 90 million views on week 1?,77.06
2026-04-11,0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,4220.6,2026.16,2.083,473,5,27,2907.74,2169.05,47.6,0.257,0.855,False,MEDIUM,"POLITICS, ECONOMICS",US escorts commercial ship through Hormuz by April 15? | Will Thomas Massie be the Republican nominee for KY-04? | Will Katie Porter win the California Governor Election in 2026?,75.67
2026-04-11,0x8f42ae0a01c0383c7ca8bd060b86a645ee74b88f,cashy,4149.13,16353.0,0.2537,406,9,52,859.03,884.74,16.0,0.059,0.709,False,SMALL,POLITICS,"Will the United States send warships through the Strait of Hormuz by April 30, 2026? | JD Vance diplomatic meeting with Iran by April 11? | Will Israel take military action in Gaza on April 10, 2026?",74.11
2026-04-11,0x70c14608f9c06ad9a5f48f1d6ddb6c0fc2d41be2,ColdConviction,3825.51,20959.39,0.1825,475,5,31,651.64,524.01,50.3,0.274,0.865,False,SMALL,POLITICS,US obtains Iranian enriched uranium by May 31? | Pete Hegseth impeached by June 30? | Will United Russia (ER) gain the most seats in the next Russian parliamentary election?,74.1
2026-04-11,0xcd6be6693e2bc11150d397caa9e6f7c6744b68f5,AlfredTheShiller,378.18,453.48,0.834,466,11,74,104.01,108.13,10.3,0.042,0.652,False,MICRO,ECONOMICS,"US x Iran meeting by June 15, 2026? | Will the United States send warships through the Strait of Hormuz by April 30, 2026? | Will JD Vance talk to Iranian negotiators by April 30?",73.23
2026-04-11,0xb84d6cf8bb81b17934164b45fb78d7d5dc65ad8a,DrinkSarsi,808.07,1779.5,0.4541,50,5,43,38.54,283.59,4.0,0.026,0.857,False,MICRO,"CULTURE, ECONOMICS","Will Elon Musk post 360-379 tweets from April 7 to April 14, 2026? | Will Elon Musk post 380-399 tweets from April 7 to April 14, 2026? | Will Elon Musk post 180-199 tweets from April 7 to April 14, 2026?",73.22
