wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x1340b8d3a4b22f9ea9995f75a5edae016c5ae38b,0x1340b8d3,CULTURE,103.03,107.3,78.9,45,12,7,142.97,0.0,0.21,496.07,1,['Will Donald Trump post 160-179 Truth Social posts from April → No @ 0.992'],2026-04-17
0xa5f7041e6581181f0e762b8398a7e691aad9a29e,0xa5f7041e,CRYPTO,102.39,58.1,74.4,90,86,67,57.91,0.03,0.14,2600.87,0,[],2026-04-17
0x735410130609d8bc5a30e279263a1f566c55430f,0x73541013,CULTURE,45.14,24.5,65.2,15,175,93,75.46,0.2,0.26,564.53,5,"['Will Elon Musk post 300-319 tweets from April 17 to April 24 → No @ 0.86', 'Will Elon Musk post 240-259 tweets from April 17 to April 24 → No @ 0.875', 'Will Elon Musk post 280-299 tweets from April 17 to April 24 → No @ 0.835']",2026-04-17
