wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x7f2928f6f7626b13fbac2d566b834e4764fc0760,0x7f2928f6,POLITICS,224.02,374.4,77.6,45,161,74,110.85,0.0,0.48,2048.71,12,"[""Will Lamine Yamal win the 2026 Ballon d'Or? → Yes @ 0.222"", 'Strait of Hormuz traffic returns to normal by December 31? → Yes @ 0.205', 'Billionaire one-time wealth tax passes in California electio → No @ 0.695']",2026-09-24
0x832bbb891caf3a24c7d1915d9f6369c4949b5c91,0x832bbb89,FINANCE,87.92,99.6,62.5,35,178,119,99.6,0.0,0.41,219.57,45,"['Will Chelsea win the 2026-27 English Premier League (EPL) Ch → Yes @ 0.027', 'Will Paris Saint-Germain win the 2026-27 UEFA Champions Leag → Yes @ 0.135', 'Will Real Madrid win the 2026-27 LALIGA Championship? → Yes @ 0.175']",2026-09-24
0x57dedd62596dd4f85c7ebe5317e07d22795ecd90,0x57dedd62,POLITICS,82.55,85.4,100.0,9,49,23,113.05,0.0,0.33,4315.72,1,['Will the US confirm that aliens exist by September 30? → No @ 0.997'],2026-09-24
