date,wallet,name,pnl_alltime,vol_alltime,pnl_efficiency,trades_30d,days_active_30d,markets_count_30d,avg_buy_size,avg_size_all,top_market_pct,hhi_concentration,win_rate_approx,is_bot,size_tier,categories,markets_sample,quality_score
2026-04-14,0xcb894d56b6ed7f458e8534636a086b65e915a2e8,justme003,524.23,1641.78,0.3193,456,23,42,447.76,512.44,9.2,0.052,0.79,False,MICRO,FINANCE,"Will Bitcoin dip to $45,000 by December 31, 2026? | Starmer out by April 30, 2026? | Starmer out by June 30, 2026?",88.22
2026-04-14,0xe1445d5487c3dc98093ee32eb645e8dbe7e1487f,0xe1445D5487C3dc98093ee32EB645e8Dbe7E1487F-1769398966621,4025.36,8436.1,0.4772,330,24,178,86.34,123.58,3.0,0.008,0.717,False,MICRO,CULTURE,"Will Elon Musk post 280-299 tweets from April 7 to April 14, 2026? | Will Elon Musk post 300-319 tweets from April 7 to April 14, 2026? | Will Elon Musk post 220-239 tweets from April 3 to April 10, 2026?",84.88
2026-04-14,0x63838cd6009ae79186cab25e8cbf8908ec3db007,Jeffreyz,801.93,570.04,1.4068,77,22,32,294.92,210.83,11.7,0.055,0.825,False,MICRO,ECONOMICS,Will China GDP growth in Q1 2026 be between 4.5% and 5.0%? | Fed rate cut by September 2026 meeting? | Will China GDP growth in Q1 2026 be between 5.0% and 5.5%?,83.63
2026-04-14,0x9c9ad74b04c7de5bf3030754e5b1cec7ad02553b,M2Bubble,507.48,2367.76,0.2143,472,24,62,49.23,64.59,12.9,0.058,0.638,False,MICRO,FINANCE,Will Gold have the best performance in 2026? | Will Johnson & Johnson (JNJ) beat quarterly earnings? | Will Silver (SI) settle over $70 on the final trading day of June 2026?,80.87
2026-04-14,0xb44e078d30bc85ca08be001607969b8737ba681a,0xB44E078d30Bc85Ca08bE001607969B8737ba681A-1768832750024,691.25,4476.25,0.1544,144,18,55,335.42,427.71,9.0,0.036,0.86,False,MICRO,FINANCE,Tesla (TSLA) Up or Down on April 14? | Opendoor (OPEN) Up or Down on April 14? | Opendoor (OPEN) Up or Down on April 10?,80.62
2026-04-14,0x6291edb6079eb78d52814340fdf748a2d279cc47,Snoopyfan,3617.63,20861.8,0.1734,469,9,50,57.19,94.11,19.8,0.078,0.864,False,MICRO,POLITICS,Will the Virginia constitutional amendment referendum pass by 15%+? | Will Tatiana Auguste win the by-election for the seat of Terrebone in the House of Commons of Canada? | Will Nathalie Sinclair-Desgagné win the by-election for the seat of Terrebone in the House of Commons of Canada?,79.67
2026-04-14,0x7664aa7df89e2c02c01e3cd57e0abee078eb2e50,snols,3909.34,9649.42,0.4051,491,7,29,105.74,128.33,17.9,0.09,0.839,False,MICRO,POLITICS,Will Ed Gallrein be the Republican nominee for KY-04? | Will Roberto Sánchez Palomino win the 2026 Peruvian presidential election? | Will Rafael López Aliaga win the 2026 Peruvian presidential election?,79.59
2026-04-14,0x4e374c1749ee2a672ffd2deea58c4b041457cccb,Bat-man,899.18,1044.68,0.8607,443,22,111,109.08,156.7,23.7,0.068,0.635,False,MICRO,CRYPTO,"Will MegaETH launch a token by April 30, 2026? | Genius FDV above $300M one day after launch? | Genius FDV above $200M one day after launch?",78.97
2026-04-14,0x74f5c945b2e408cb88b0c3c7c740771c6b9eb1c6,usernamejj,3139.02,28382.73,0.1106,467,18,33,122.52,186.93,10.7,0.061,0.847,False,MICRO,SPORTS,LoL: Invictus Gaming vs Top Esports - Game 2 Winner | Will the highest temperature in Shanghai be 18°C on April 14? | LoL: Invictus Gaming vs Top Esports - Game 1 Winner,78.85
2026-04-14,0xf5bcf155ece1d1b6ba008667e60e08bd8fe22c49,kangkang123,959.34,4055.99,0.2365,473,5,64,205.3,294.0,20.1,0.08,0.843,False,MICRO,CRYPTO,"Ethereum Up or Down - April 14, 12:00AM-4:00AM ET | Ethereum Up or Down - April 14, 2:00AM-2:15AM ET | Ethereum Up or Down - April 14, 12:00AM-12:15AM ET",78.54
