wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x403f2471f8aaa1e8a224f1338b073bfa3fdb94f1,0x403f2471,FINANCE,94.03,36.9,94.0,78,144,144,40.43,0.01,0.46,611.44,39,"['Will South Korea ETF (EWY) hit (LOW) $162 in September? → No @ 0.8', 'Will South Korea ETF (EWY) hit (HIGH) $202 in September? → No @ 0.835', 'Will US Dollar Index (DXY) hit (LOW) 98.00 in September? → No @ 0.87']",2026-09-20
0xf86c606c8a360c38037cdab2f81fb5ed2e94ba99,0xf86c606c,CULTURE,88.57,33.7,124.3,46,94,68,30.62,0.22,0.32,292.59,3,"['Will ""Spider-Man: Brand New Day"" 8th Weekend Box Office be a → Yes @ 0.966', 'Will ""Resident Evil"" Opening Weekend Box Office be between 6 → Yes @ 0.454', 'Will ""Practical Magic 2"" 2nd Weekend Box Office be between 1 → Yes @ 0.31']",2026-09-20
