wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,0xc6dd7225,FINANCE,193.27,365.5,62.5,5,113,11,113.09,0.0,0.5,836.22,6,"['Kash Patel out by December 31? → Yes @ 0.315', 'Will OpenAI announce earbuds or headphones in 2026? → No @ 0.77', 'Will OpenAI announce a tablet in 2026? → No @ 0.905']",2026-07-29
0xf32a44b612a60f2b0c0f23c419876ec1c89c06fd,0xf32a44b6,FINANCE,73.37,74.7,82.4,14,176,176,115.27,0.0,0.35,846.9,21,"['Will XRP dip to $0.60 in July? → No @ 0.998', ""Will Max Verstappen be the 2026 F1 Drivers' Champion? → No @ 0.983"", 'Will Ethereum dip to $700 in July? → No @ 1.0']",2026-07-29
