wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x88c4919de76e526d55a32c1f8afb439dd1f1129a,0x88c4919d,POLITICS,111.74,134.6,74.5,41,71,44,164.71,0.02,0.29,4145.81,3,"['Will the Iranian regime survive U.S. military strikes? → Yes @ 0.915', 'Will the US reopen its embassy in Iran in 2026? → No @ 0.865', 'Will Saudi Arabia recognize Israel by June 30? → No @ 0.9']",2026-04-15
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,0x7f9e2d1d,POLITICS,51.13,16.8,64.8,35,32,13,192.79,0.0,0.31,3208.9,3,"['Will WTI Crude Oil (WTI) hit (HIGH) $130 in April? → No @ 0.915', 'Bab el-Mandeb Strait effectively closed by April 30? → No @ 0.89', 'Iran removed from FIFA World Cup by April 30? → No @ 0.935']",2026-04-15
