wallet,name,category,smart_score,roi_pct,win_rate,n_wins_20d,micro_trades_20d,recent_trades_7d,avg_trade_usd,timing_bonus,zombie_ratio,pnl_30d,open_positions,conviction_plays,scan_date
0x2a16e270f36f5b00dd11467df36e1c3121ae6f38,0x2a16e270,CULTURE,44.34,21.8,64.3,18,15,5,107.64,0.0,0.25,204.21,14,"['Will Mexico win the 2026 FIFA World Cup? → Yes @ 0.013', 'Will Japan win the 2026 FIFA World Cup? → Yes @ 0.013', 'Will USA win the 2026 FIFA World Cup? → Yes @ 0.03']",2026-06-26
0x3d9066cadf0f36486ca26b2b209e3d051632bf35,0x3d9066ca,TECH,37.74,16.8,87.5,14,8,1,113.41,0.0,0.25,678.84,1,['Will Claude Fable 5 be restored for US customers by June 29? → Yes @ 0.165'],2026-06-26
0xf1899a30a2c016941bf4abd77b900ecacd768e47,0xf1899a30,FINANCE,35.0,35.0,62.5,10,54,1,120.56,0.0,0.31,350.19,5,"['Will Gold (XAUUSD) hit (HIGH) $5,100 in June? → No @ 0.995', 'Will a Chinese AI model become #1 by June 30?  → No @ 0.996', 'Will Gold (XAUUSD) hit (HIGH) $5,000 in June? → No @ 0.996']",2026-06-26
